1,ACC04,WITHDRAW,4150,1771630192909
4,ACC04,WITHDRAW,1663,1771630193083
8,ACC07,WITHDRAW,3288,1771630193212
11,ACC04,DEPOSIT,3028,1771630193279
12,ACC01,WITHDRAW,4612,1771630193326
13,ACC04,DEPOSIT,2236,1771630193352
14,ACC04,WITHDRAW,1153,1771630193364
23,ACC10,DEPOSIT,3527,1771630193699
25,ACC10,WITHDRAW,1487,1771630193795
26,ACC07,WITHDRAW,3326,1771630193842
32,ACC04,WITHDRAW,894,1771630194156
37,ACC01,DEPOSIT,983,1771630194338
38,ACC04,DEPOSIT,1752,1771630194363
40,ACC01,WITHDRAW,3464,1771630194428
41,ACC10,DEPOSIT,4690,1771630194480
43,ACC07,DEPOSIT,3685,1771630194616
44,ACC07,DEPOSIT,820,1771630194627
45,ACC10,DEPOSIT,2596,1771630194684
52,ACC10,WITHDRAW,870,1771630194900
