2,ACC06,DEPOSIT,2023,1771630192909
3,ACC06,DEPOSIT,1097,1771630192909
5,ACC03,DEPOSIT,2406,1771630193144
6,ACC03,WITHDRAW,841,1771630193145
7,ACC09,WITHDRAW,31,1771630193153
9,ACC06,WITHDRAW,1043,1771630193222
17,ACC09,DEPOSIT,3511,1771630193499
18,ACC03,DEPOSIT,2227,1771630193526
19,ACC09,DEPOSIT,4832,1771630193552
22,ACC06,WITHDRAW,4422,1771630193623
24,ACC09,DEPOSIT,2034,1771630193711
30,ACC06,DEPOSIT,2409,1771630193946
31,ACC06,DEPOSIT,4212,1771630193952
33,ACC06,WITHDRAW,2437,1771630194164
35,ACC06,WITHDRAW,782,1771630194310
39,ACC09,DEPOSIT,4951,1771630194398
42,ACC03,WITHDRAW,1196,1771630194577
46,ACC03,DEPOSIT,2660,1771630194698
50,ACC06,WITHDRAW,746,1771630194821
51,ACC06,DEPOSIT,2649,1771630194834
54,ACC06,WITHDRAW,2374,1771630194979
56,ACC03,WITHDRAW,1345,1771630195122
59,ACC09,WITHDRAW,2886,1771630195365
