10,ACC05,WITHDRAW,3123,1771630193249
15,ACC02,DEPOSIT,2121,1771630193406
16,ACC08,DEPOSIT,72,1771630193413
20,ACC02,WITHDRAW,1678,1771630193605
21,ACC08,DEPOSIT,430,1771630193617
27,ACC02,WITHDRAW,714,1771630193848
28,ACC05,DEPOSIT,3276,1771630193856
29,ACC08,WITHDRAW,3401,1771630193940
34,ACC05,WITHDRAW,82,1771630194169
36,ACC02,WITHDRAW,4403,1771630194333
47,ACC05,DEPOSIT,1882,1771630194717
48,ACC05,DEPOSIT,1485,1771630194804
49,ACC08,WITHDRAW,2378,1771630194814
53,ACC05,WITHDRAW,3855,1771630194929
55,ACC02,DEPOSIT,2586,1771630195095
57,ACC05,DEPOSIT,1240,1771630195181
58,ACC05,WITHDRAW,3773,1771630195238
60,ACC08,WITHDRAW,4975,1771630195493
