2,ACC02,WITHDRAW,737,1771970906932,1
6,ACC02,WITHDRAW,1364,1771970907231,2
14,ACC02,DEPOSIT,3992,1771970907426,3
17,ACC05,DEPOSIT,4597,1771970907481,4
26,ACC08,WITHDRAW,642,1771970907709,5
27,ACC05,WITHDRAW,284,1771970907716,6
29,ACC05,DEPOSIT,2803,1771970907811,7
31,ACC02,WITHDRAW,154,1771970907847,8
32,ACC05,WITHDRAW,1821,1771970907868,9
38,ACC05,DEPOSIT,2907,1771970908005,10
41,ACC02,WITHDRAW,3181,1771970908086,11
45,ACC08,WITHDRAW,380,1771970908151,12
54,ACC05,DEPOSIT,4886,1771970908334,13
57,ACC05,DEPOSIT,4523,1771970908417,14
58,ACC08,WITHDRAW,3879,1771970908437,15
60,ACC08,DEPOSIT,4390,1771970908512,16
