4,ACC01,WITHDRAW,722,1771970907213,1
8,ACC01,WITHDRAW,4316,1771970907262,2
10,ACC07,DEPOSIT,2667,1771970907309,3
11,ACC04,WITHDRAW,4174,1771970907376,4
15,ACC01,WITHDRAW,3539,1771970907436,5
19,ACC01,WITHDRAW,549,1771970907537,6
20,ACC04,DEPOSIT,1331,1771970907552,7
21,ACC04,DEPOSIT,280,1771970907592,8
25,ACC10,DEPOSIT,2440,1771970907671,9
28,ACC01,WITHDRAW,1827,1771970907796,10
30,ACC07,DEPOSIT,4651,1771970907812,11
35,ACC04,DEPOSIT,1716,1771970907915,12
36,ACC07,WITHDRAW,1007,1771970907978,13
39,ACC04,WITHDRAW,3266,1771970908041,14
40,ACC07,DEPOSIT,4187,1771970908079,15
42,ACC07,DEPOSIT,2070,1771970908091,16
43,ACC07,DEPOSIT,4520,1771970908106,17
44,ACC04,WITHDRAW,1694,1771970908129,18
47,ACC01,DEPOSIT,611,1771970908214,19
51,ACC10,DEPOSIT,2220,1771970908275,20
56,ACC04,WITHDRAW,2071,1771970908398,21
59,ACC04,DEPOSIT,3809,1771970908468,22
