3,ACC09,DEPOSIT,1604,1771970906932,1
1,ACC06,DEPOSIT,1077,1771970906932,2
5,ACC03,DEPOSIT,2945,1771970907228,3
7,ACC09,DEPOSIT,3444,1771970907248,4
9,ACC06,WITHDRAW,600,1771970907292,5
12,ACC09,DEPOSIT,3214,1771970907378,6
13,ACC09,WITHDRAW,639,1771970907383,7
16,ACC06,WITHDRAW,232,1771970907456,8
18,ACC03,DEPOSIT,1095,1771970907503,9
22,ACC09,WITHDRAW,3117,1771970907596,10
23,ACC09,DEPOSIT,458,1771970907604,11
24,ACC03,WITHDRAW,3033,1771970907662,12
33,ACC06,DEPOSIT,4985,1771970907888,13
34,ACC03,DEPOSIT,3822,1771970907908,14
37,ACC06,DEPOSIT,4708,1771970907983,15
46,ACC09,WITHDRAW,4525,1771970908163,16
48,ACC03,DEPOSIT,3977,1771970908235,17
49,ACC06,DEPOSIT,2298,1771970908264,18
50,ACC06,WITHDRAW,3527,1771970908268,19
52,ACC03,DEPOSIT,4910,1771970908302,20
53,ACC09,WITHDRAW,3338,1771970908324,21
55,ACC03,DEPOSIT,215,1771970908354,22
